County,Constituency,Ward,Latitude,Longitude
Nakuru,Kuresoi North,Kamara,-0.139934049,35.668940834355524
Kirinyaga,Ndia,Kiine,-0.558881537,37.20381594151854
Nakuru,Kuresoi South,Kiptagich,-0.583291651,35.618289081732776
Kisii,Kitutu Chache North,Monyerero,-0.573727902,34.857459077297605
Nyeri,Nyeri Town,Rware,-0.417570046,36.94938644849368
Homa Bay,Kabondo Kasipul,Kabondo East,-0.4271764,34.94052119065964
Siaya,Alego Usonga,North Alego,0.096295236,34.328890060692466
Kisumu,Nyakach,North Nyakach,-0.277599328,34.966119049036045
Nairobi,Kibra,Woodley/Kenyatta Golf,-1.304152919,36.78947676
Meru,South Imenti,Igoji East,-0.177125624,37.69875325658823
Migori,Awendo,South Sakwa,-0.939811908,34.57089851023639
Kisumu,Muhoroni,Muhoroni/Koru,-0.176719617,35.25292029
Nyeri,Mukurweni,Mukurwe-Ini Central,-0.564154215,37.10673370686809
Bomet,Sotik,Kapletundo,-0.676804295,35.20844723882914
Homa Bay,Suba North,Gembe,-0.500593179,34.29923199
Makueni,Makueni,Wote,-1.797835862,37.58889283870666
Tharaka,Nithi,Karingani,-0.320542335,37.65824080366686
Nairobi,Embakasi North,Dandora Area Iv,-1.242220787,36.91355677273129
Kiambu,Thika Town,Hospital,-1.046398537,37.11596516
Bungoma,Webuye West,Sitikho,0.5334443179066273,34.698520600311824
Makueni,Kibwezi East,Ivingoni/Nzambani,-2.646640372,38.04492951
Tana River,Bura,Bangale,-0.416474841,38.92964175025613
Nyamira,Kitutu Masaba,Kemera,-0.674697863,34.830885879125624
Kisii,Bobasi,Sameta/Mokwerero,-0.779312109,34.76052024326482
Kisumu,Nyando,Ahero,-0.19550247,34.922615077704855
Kitui,Kitui East,Zombe/Mwitika,-1.438717265,38.29475839691536
Homa Bay,Ndhiwa,Kanyadoto,-0.788920662,34.33973404
Wajir,Wajir South,Dadaja Bulla,0.5809894689627763,40.84637989436099
Kisumu,Kisumu Central,Migosi,-0.073885511,34.78030119930656
Machakos,Masinga,Masinga Central,-0.981375052,37.63513707734958
Kakamega,Lurambi,Butsotso Central,0.2764329326094179,34.674370223099494
Kakamega,Malava,Shirugu-Mugai,0.4577033994881845,34.790366489017806
Kajiado,Kajiado South,Kuku,-2.83063119,37.73998521674074
Kwale,Kinango,Kasemeni,-4.001913797,39.43682509910989
Siaya,Rarieda,East Asembo,-0.12689147,34.397969516982286
Kiambu,Ruiru,Mwihoko,-1.215824203,36.98065356658368
Kiambu,Githunguri,Githunguri,-1.062870538,36.783392652922096
Nyamira,West Mugirango,Bogichora,-0.585409282,34.91912440521825
Kajiado,Kajiado South,Entonet/Lenkisim,-2.579465549,37.20503162377013
Kitui,Mwingi East,Kivou,-0.920917195,38.12652135955896
Homa Bay,Ndhiwa,North Kabuoch,-0.711435337,34.47951645957049
Vihiga,Hamisi,Muhudu,0.1574892550109129,34.836368956248975
Kiambu,Gatundu South,Kiamwangi,-1.029604323,36.87319441472572
Makueni,Kibwezi East,Mtito Andei,-2.701498735,38.29073059884716
Busia,Teso North,Ang'Urai North,0.7324922807658499,34.34561543221724
Murang'a,Kandara,Kagundu-Ini,-0.905338955,37.07054825259237
Kiambu,Kikuyu,Kikuyu,-1.253811649,36.66377394
Kakamega,Mumias West,Etenje,0.2744333322706316,34.43410571694238
Busia,Budalangi,Bunyala West,0.098221478,33.98574957
Kakamega,Likuyani,Kongoni,0.775101871,35.12613389985091
Busia,Teso South,Amukura East,0.5497426466101094,34.30192451512007
Nyandarua,Ndaragwa,Central,-0.066912257,36.54165607965164
Murang'a,Gatanga,Kariara,-0.817343093,36.80886748867315
Nairobi,Kasarani,Kasarani,-1.228663099,36.89157899179512
Siaya,Ugenya,East Ugenya,0.2696140626145282,34.31799579527094
Homa Bay,Kabondo Kasipul,Kabondo West,-0.42851664,34.85958910286453
Laikipia,Laikipia East,Olmoran,0.5699719285911705,36.41882991362996
Makueni,Kibwezi East,Masongaleni,-2.450351595,38.16143867967866
Bomet,Buret,Cheboin,-0.567510605,35.12813421959918
Kilifi,Rabai,Ruruma,-3.875847354,39.58891742595392
Kakamega,Ikolomani,Idakho Central,0.1909178453876574,34.689661701353614
Kakamega,Lugari,Chevaywa,0.5280298912942554,34.76021680463008
Homa Bay,Kasipul,Central Kasipul,-0.453454842,34.70437110985754
Homa Bay,Ndhiwa,Kanyikela,-0.793299436,34.37551587085389
Kisumu,Nyakach,Central Nyakach,-0.316288103,34.920201761126975
Nakuru,Bahati,Dundori,-0.243983905,36.199305605784645
Kirinyaga,Mwea,Wamumu,-0.736396443,37.37574711950087
Uasin Gishu,Soy,Ziwa,0.8330515276823126,35.2680145
Kiambu,Limuru,Bibirioni,-1.078492089,36.62556180845392
Murang'a,Thika Town,Township (Thika),-1.028187695,37.03299465530796
Kakamega,Shinyalu,Isukha East,0.2792400846676923,34.894144815675745
Kericho,Ainamoi,Kapsaos,-0.287544635,35.340182367609856
Bomet,Buret,Chemosot,-0.516039304,35.16873084229226
Nakuru,Bahati,Lanet/Umoja,-0.294220985,36.17749802431391
Kwale,Lunga Lunga,Vanga,-4.571016255,39.14826893502535
Nandi,Mosop,Kabisaga,0.4283180588920683,35.127019779220035
Nyeri,Mathira,Iriaini,-0.458404136,37.16433798907704
Kisii,South Mugirango,Borabu/Chitago,-0.908704066,34.680016243378326
Nyandarua,Kipipiri,Githioro,-0.494391346,36.467129262787225
Embu,Manyatta,Mbeti North,-0.537126256,37.48774063990266
Machakos,Yatta,Katangi,-1.418500793,37.72607745
Nandi,Chesumei,Chemundu/Kapng'Etuny,0.2319135693671842,35.08270778254501
Kakamega,Shinyalu,Murhanda,0.2669267375358443,34.81068173077367
Migori,Kuria East,Nyabasi West,-1.257781062,34.62769920634436
Bungoma,Kimilili,Kibingei,0.7765945911280671,34.67975784431388
Kitui,Kitui Rural,Kanyangi,-1.774404979,37.92940136742577
Laikipia,Laikipia East,Rumuruti Township,0.3049460894532559,36.47642856
Tharaka,Maara,Chogoria,-0.219141649,37.53001347684764
Kakamega,Mumias West,Musanda,0.2230451799392807,34.43733808283722
Nairobi,Westlands,Karura,-1.234678854,36.80778231257177
Embu,Runyenjes,Kagaari South,-0.490983019,37.61191555208502
Siaya,Bondo,North Sakwa,-0.090469008,34.30952655282394
Kakamega,Ikolomani,Idakho North,0.2280610924903773,34.679119399947446
Kericho,Kipkelion West,Chilchila,-0.166549921,35.36588950364431
Migori,Uriri,Central Kanyamkago,-0.936034735,34.461066579621686
Siaya,Gem,Yala Township,0.1006117861633184,34.53222837056295
Kiambu,Limuru,Ngecha Tigoni,-1.153218821,36.68697949176804
Kericho,Sigowet/Soin,Sigowet,-0.433548151,35.065648746017644
Kericho,Belgut,Kabianga,-0.432189581,35.129909623746165
Kilifi,Magarini,Garashi,-3.124883383,39.92657554934787
Makueni,Makueni,Mavindini,-1.850395557,37.80640004324365
Kwale,Kinango,Mackinnon-Road,-3.828895751,39.10574133754199
Kericho,Ainamoi,Ainamoi,-0.270568727,35.27728911570394
Migori,Suna West,Wasweta Ii,-1.098860552,34.40709746941791
Taita Taveta,Wundanyi,Werugha,-3.249284218,38.29450205736713
Laikipia,Laikipia North,Umande,0.201697385,37.12901915450526
Embu,Gachoka,Mavuria,-0.735450291,37.68634962
Bungoma,Mt. Elgon,Elgon,0.8387610608184389,34.695520338666995
Kiambu,Kiambaa,Cianda,-1.129852144,36.76395899046898
Kisumu,Kisumu East,Nyalenda B,-0.115169371,34.77381361106339
Meru,Tigania East,Athwana,0.3210925719562241,37.653434989802456
Kilifi,Rabai,Kambe/Ribe,-3.882596583,39.65918156742397
Nandi,Emgwen,Kapsabet,0.1650498771122758,35.07995465065274
Nyeri,Tetu,Aguthi-Gaaki,-0.49195256,37.01900595928708
Kirinyaga,Mwea,Thiba,-0.677158298,37.32743639031197
Tana River,Garsen,Garsen North,-2.021939954,40.02692990875231
Meru,Buuri,Kiirua/Naari,0.1602095500208555,37.564636956392064
Nyeri,Kieni,Kabaru,-0.254859522,37.14560582316265
Nandi,Aldai,Kemeloi-Maraba,0.018295107,34.89267493582802
Kisii,Nyaribari Masaba,Kiamokama,-0.822535479,34.905468490429065
Turkana,Turkana South,Kalapata,2.429423497167769,35.972124030864784
Kisii,Bobasi,Masige East,-0.829995325,34.79324736410653
Vihiga,Sabatia,Chavakali,0.1112794886700944,34.71541896364924
Bungoma,Tongaren,Ndalu/Tabani,0.851199917,34.97703242164637
Narok,Narok North,Olorropil,-0.767843192,35.96373282059852
Makueni,Kaiti,Kee,-1.729854706,37.36766832842844
Kisumu,Kisumu Central,Market Milimani,-0.108828281,34.75563666426598
Nyamira,North Mugirango,Ekerenyo,-0.518565745,34.99539867454081
Tharaka,Maara,Mitheru,-0.297747944,37.67823914
Kisumu,Kisumu East,Kolwa East,-0.114850753,34.82520250066736
Kericho,Ainamoi,Kapsoit,-0.297029179,35.21697453470402
Migori,Kuria West,Bukira Centrl/Ikerege,-1.195344092,34.56063695448572
Kisii,Bonchari,Riana,-0.669125137,34.664042653926685
Kisii,Nyaribari Chache,Kitutu Central,-0.663238017,34.76603321092509
Bungoma,Bumula,Kimaeti,0.6043124850913703,34.40553037703835
Nandi,Tinderet,Kapsimotwo,0.051872227,35.15699895263315
Bungoma,Webuye East,Ndivisi,0.7091332536083041,34.79618446172176
Nyandarua,Kinangop,Engineer,-0.632810322,36.561673793368286
Machakos,Mwala,Masii,-1.455537531,37.42973444074642
Vihiga,Vihiga,Central Maragoli,0.046147954,34.71906122706518
Uasin Gishu,Soy,Kimumu,0.5525730837419683,35.288565599135055
Migori,Kuria West,Nyamosense/Komosoko,-1.178783446,34.42525949075058
Murang'a,Kiharu,Wangu,-0.718810485,37.02462178060699
Taita Taveta,Voi,Kaloleni,-3.434618362,38.57157208
Tharaka,Tharaka,Marimanti,-0.173632451,37.94783165169908
Kisii,Nyaribari Chache,Birongo,-0.761524143,34.880341592264344
Makueni,Kibwezi West,Kikumbulyu South,-2.35712946,38.00207118604047
Nyeri,Othaya,Chinga,-0.585581954,36.89709740494808
Homa Bay,Ndhiwa,Kanyamwa Kologi,-0.63417679,34.40842845650154
West Pokot,Kacheliba,Suam,1.450830167170246,34.90626015
Bungoma,Tongaren,Naitiri/Kabuyefwe,0.7663155145418503,34.90327846324436
Migori,Nyatike,Kachien'g,-0.826453711,34.071119235546895
Kisumu,Kisumu West,Railways,-0.077945809,34.75177847612915
Machakos,Kangundo,Kangundo Central,-1.31026005,37.346331001644046
Uasin Gishu,Kapseret,Langas,0.4797888225519179,35.256146630359204
Murang'a,Maragwa,Nginda,-0.786827681,37.08084544762748
Makueni,Makueni,Emali/Mulala,-2.037940005,37.50378664
Busia,Butula,Marachi East,0.3819878915308776,34.37479828600396
Nakuru,Gilgil,Mbaruk/Eburu,-0.521016068,36.23465252478724
Embu,Siakago,Evurore,-0.493624352,37.81276879924759
Murang'a,Gatanga,Ithanga,-0.992609623,37.34651063456023
Mombasa,Likoni,Shika Adabu,-4.136747698,39.64231098380005
Kitui,Mwingi North,Mumoni,-0.596114971,37.99696896556804
Kajiado,Kajiado Central,Purko,-2.03197622,36.74302653838141
Busia,Teso South,Ang'Orom,0.4812735273753631,34.131997210213804
Kisumu,Kisumu East,Shaurimoyo Kaloleni,-0.101844145,34.78141948
Migori,Kuria West,Masaba,-1.136750711,34.544093172749136
Kirinyaga,Kirinyaga Central,Kerugoya,-0.496192952,37.28263476198992
